,,
CALLE,ALTURA,EQUIPO TERRITORIAL
Adolfo Saldias,2200,4 - Sur
Alagon,1 - 100,4 - Sur
Albarracín,1400 - 1800,2 - Oeste
Albarracín,1900 - 2000,4 - Sur
Arquimedes,2100 - 2400,4 - Sur
Av. Asamblea, 2 - 400 PAR,1 - Norte
Av. Asamblea,1 - 400  IMPAR,2 - Oeste
Av. Boedo,1100 - 1400 IMPAR,1 - Norte
Av. Boedo,1500 - 1900 IMPAR,3 - Este
Av. Caseros,3600 - 4100 IMPAR,3 - Este
Av. Castañares,1000 PAR,2 - Oeste
Av. Chiclana,3700 - 3800,3 - Este
Av. Chiclana,3900 - 4200 IMPAR,4 - Sur
Av. Cobo,500 - 1100,4 - Sur
Av. Daract,2000 - 2200,4 - Sur
Av. Del Barco Centenera,1800 - 2500 PAR,4 - Sur
Av. Fernandez de la Cruz,800 - 1400 IMPAR,4 - Sur
Av. Garay,3600 - 4300 PAR,1 - Norte
Av. Garay,3600 - 4300 IMPAR,3 - Este
Av. José María Moreno,1300 - 1700,2 - Oeste
Av. José María Moreno,1800 - 1900,4 - Sur
Av. La Plata,1100 - 1300,1 - Norte
Av. La Plata,1400 PAR,1 - Norte
Av. La Plata,1400 - 1900 IMPAR,2 - Oeste
Av. La Plata,1500 - 2100 PAR,3 - Este
Av. La Plata,2000 - 2100 IMPAR,4 - Sur
Av. La Plata,2200 - 2300,4 - Sur
Av. Pavón ,3600 - 4300,1 - Norte
Av. Riestra,1100 - 1500,4 - Sur
Av. Vernet ,1 - 300,2 - Oeste
Avelino Diaz,300 - 900,2 - Oeste
Balbastro,400 - 1000,2 - Oeste
Barros Pazos,1600,4 - Sur
Beauchef,1000 - 1300,1 - Norte
Beauchef,1400 - 1800,2 - Oeste
Beauchef,1900 - 2000,4 - Sur
Butteler,1 - 100,4 - Sur
Caricancha,1100 - 1200,1 - Norte
Castro,1200 - 1500,1 - Norte
Castro,1600 - 2200,3 - Este
Castro Barros,1200 - 1500,1 - Norte
Castro Barros,1600 - 2200,3 - Este
Chilavert,1000 - 1600,4 - Sur
Cochabamba,3600 - 4300,1 - Norte
Colombres,1100 - 1400,1 - Norte
Constitución,3600 - 4300,1 - Norte
Del Bañado,2100 - 2400,4 - Sur
Del Barco Centenera,1400 - 1700 PAR,2 - Oeste
Doblas,1000 - 1200,1 - Norte
Doblas,1300 - 1800,2 - Oeste
Doblas,1900 - 2000,4 - Sur
Drumond,2100 - 2300,4 - Sur
Estrada,1 - 400,1 - Norte
Fournier,2100 - 2300,4 - Sur
Gibson,3900 - 4200,3 - Este
Gomez Somavilla,2000,4 - Sur
Gual,2200 - 2300,4 - Sur
Inclán,3600 - 4300,3 - Este
Ing. Carlos Echague,1200 - 1300,4 - Sur
José Marmol,1100 - 1400,1 - Norte
José Marmol,1500 - 2100,3 - Este
Juan Bautista Alberdi,1900 - 2100,3 - Este
La Capital,1100,4 - Sur
Lanza,2100 - 2500,4 - Sur
Las Casas,3600 - 4100,3 - Este
Lugo,1100,4 - Sur
Marcos Seguin,2100 - 2500,4 - Sur
Metan,3700 - 4200,3 - Este
Muñiz,1200 - 1500,1 - Norte
Muñiz,1600 - 2100,3 - Este
Natal,2300 - 2500,4 - Sur
Padre Lorenzo,1100 - 1200,1 - Norte
Pereyra,1500,1 - Norte
Pereyra,1600 - 1700,3 - Este
Pomar,4100 - 4300,4 - Sur
Priovano,1,4 - Sur
Provincias Unidas ,300,2 - Oeste
Querol,900,2 - Oeste
Quintino Bocayuva,1200 - 1500,1 - Norte
Quintino Bocayuva,1600 - 1700,3 - Este
Rondeau,3600 - 4200,3 - Este
Salas ,300-400,1 - Norte
Salcedo,3600 - 4200,3 - Este
Salvigny,1100 - 1400,4 - Sur
Santander,300 - 982,2 - Oeste
Saraza,400 - 1000,2 - Oeste
Senillosa,1000 - 1200,1 - Norte
Senillosa,1300 - 1800,2 - Oeste
Senillosa,1900 - 2000,4 - Sur
Somellera,800 - 1300,4 - Sur
Tarija ,3600 - 4300,1 - Norte
Tejedor ,1 - 400,1 - Norte
Tilcara,2100 - 2400,4 - Sur
Treinta y Tres Orientales,1100 - 1400,1 - Norte
Treinta y Tres Orientales,1500 - 2200,3 - Este
Trole,1,4 - Sur
Viel,1000 - 1200,1 - Norte
Viel,1300 - 1800,2 - Oeste
Viel,1900 - 2000,4 - Sur
Zañartu,400 - 1000 IMPAR,2 - Oeste
Zañartu,400 - 1000 PAR,4 - Sur
Zelarrayán,500 - 1100,4 - Sur
Zuviría,1 - 400,1 - Norte
